Source,Data_Level,Area,Road_Name,Day,Day_Num,Is_Weekend,Hour,Peak_Flag,Cars,Motorcycles,Buses,Trucks,Total_Vehicles,Road_Capacity_Util,Roadwork
Synthetic_Generated,Area_Level,Indiranagar,100 Feet Road,Saturday,5,1,22,0,13946,27066,8566,1012,50590,100.0,No
Synthetic_Generated,Area_Level,Indiranagar,CMH Road,Saturday,5,1,13,0,9511,16491,4207,616,30825,100.0,No
Synthetic_Generated,Area_Level,Whitefield,Marathahalli Bridge,Saturday,5,1,14,0,2260,3958,1033,148,7399,36.39652493739601,No
Synthetic_Generated,Area_Level,Koramangala,Sony World Junction,Saturday,5,1,8,1,19417,32568,7672,1217,60874,100.0,No
Synthetic_Generated,Area_Level,Koramangala,Sarjapur Road,Saturday,5,1,23,0,18123,30651,7372,1146,57292,100.0,No
Synthetic_Generated,Area_Level,M.G. Road,Trinity Circle,Saturday,5,1,22,0,14870,25599,6422,957,47848,100.0,No
Synthetic_Generated,Area_Level,M.G. Road,Anil Kumble Circle,Saturday,5,1,16,0,10006,19567,6270,731,36574,100.0,No
Synthetic_Generated,Area_Level,Jayanagar,Jayanagar 4th Block,Saturday,5,1,21,0,7702,13578,3591,508,25379,100.0,No
Synthetic_Generated,Area_Level,Jayanagar,South End Circle,Saturday,5,1,23,0,7653,13387,3482,500,25022,100.0,No
Synthetic_Generated,Area_Level,Hebbal,Hebbal Flyover,Saturday,5,1,3,0,10854,16992,3279,635,31760,100.0,No
Synthetic_Generated,Area_Level,Hebbal,Ballari Road,Saturday,5,1,0,0,11555,20569,5553,769,38446,100.0,No
Synthetic_Generated,Area_Level,Yeshwanthpur,Yeshwanthpur Circle,Saturday,5,1,16,0,4995,8048,1699,301,15043,76.63531646154289,No
Synthetic_Generated,Area_Level,Indiranagar,100 Feet Road,Sunday,6,1,9,1,6958,11797,2854,441,22050,100.0,No
Synthetic_Generated,Area_Level,Indiranagar,CMH Road,Sunday,6,1,18,1,10217,20264,6638,758,37877,100.0,No
Synthetic_Generated,Area_Level,Koramangala,Sarjapur Road,Sunday,6,1,21,0,8609,15572,4343,582,29106,100.0,No
Synthetic_Generated,Area_Level,M.G. Road,Trinity Circle,Sunday,6,1,3,0,16921,28471,6761,1064,53217,100.0,No
Synthetic_Generated,Area_Level,M.G. Road,Anil Kumble Circle,Sunday,6,1,4,0,12710,20107,4015,752,37584,100.0,No
Synthetic_Generated,Area_Level,Jayanagar,Jayanagar 4th Block,Sunday,6,1,13,0,5207,8922,2213,334,16676,78.63350743415457,No
Synthetic_Generated,Area_Level,Jayanagar,South End Circle,Sunday,6,1,15,0,10666,20067,6026,750,37509,100.0,No
Synthetic_Generated,Area_Level,Hebbal,Hebbal Flyover,Sunday,6,1,7,1,2307,3616,700,135,6758,32.77504734397373,No
Synthetic_Generated,Area_Level,Hebbal,Ballari Road,Sunday,6,1,4,0,9103,16162,4340,604,30209,100.0,Yes
Synthetic_Generated,Area_Level,Yeshwanthpur,Yeshwanthpur Circle,Sunday,6,1,19,1,6836,10901,2230,408,20375,100.0,No
Synthetic_Generated,Area_Level,Yeshwanthpur,Tumkur Road,Sunday,6,1,22,0,4455,8365,2503,313,15636,82.48757325603566,No
Synthetic_Generated,Area_Level,Indiranagar,100 Feet Road,Monday,0,0,19,1,7476,12549,2963,469,23457,100.0,No
Synthetic_Generated,Area_Level,Indiranagar,CMH Road,Monday,0,0,21,0,11504,20825,5818,778,38925,100.0,No
Synthetic_Generated,Area_Level,Whitefield,Marathahalli Bridge,Monday,0,0,17,1,3097,4897,977,183,9154,48.30378185258941,No
Synthetic_Generated,Area_Level,Whitefield,ITPL Main Road,Monday,0,0,15,0,6879,13358,4232,499,24968,100.0,No
Synthetic_Generated,Area_Level,Koramangala,Sony World Junction,Monday,0,0,8,1,16596,27531,6303,1029,51459,100.0,No
Synthetic_Generated,Area_Level,Koramangala,Sarjapur Road,Monday,0,0,18,1,7971,15237,4703,570,28481,100.0,No
Synthetic_Generated,Area_Level,Jayanagar,Jayanagar 4th Block,Monday,0,0,17,1,2721,5446,1808,204,10179,51.83630715352135,Yes
Synthetic_Generated,Area_Level,Indiranagar,100 Feet Road,Tuesday,1,0,21,0,13456,24716,7103,924,46199,100.0,No
Synthetic_Generated,Area_Level,Indiranagar,CMH Road,Tuesday,1,0,13,0,19275,30089,5753,1125,56242,100.0,Yes
Synthetic_Generated,Area_Level,Whitefield,Marathahalli Bridge,Tuesday,1,0,19,1,6037,10941,3063,409,20450,100.0,No
Synthetic_Generated,Area_Level,Whitefield,ITPL Main Road,Tuesday,1,0,11,0,4471,7164,1488,268,13391,63.23545838957772,No
Synthetic_Generated,Area_Level,Koramangala,Sony World Junction,Tuesday,1,0,8,1,8961,15177,3664,567,28369,100.0,No
Synthetic_Generated,Area_Level,Koramangala,Sarjapur Road,Tuesday,1,0,17,1,9851,16707,4045,625,31228,100.0,No
Synthetic_Generated,Area_Level,M.G. Road,Trinity Circle,Tuesday,1,0,0,0,10911,18286,4299,684,34180,100.0,No
Synthetic_Generated,Area_Level,M.G. Road,Anil Kumble Circle,Tuesday,1,0,18,1,12780,23309,6609,871,43569,100.0,No
Synthetic_Generated,Area_Level,Jayanagar,Jayanagar 4th Block,Tuesday,1,0,18,1,4353,8743,2919,327,16342,81.95511389570255,No
Synthetic_Generated,Area_Level,Yeshwanthpur,Yeshwanthpur Circle,Tuesday,1,0,14,0,5717,10329,2874,386,19306,93.9540973241508,Yes
Synthetic_Generated,Area_Level,Yeshwanthpur,Tumkur Road,Tuesday,1,0,2,0,4921,8566,2205,320,16012,82.66227859889686,No
Synthetic_Generated,Area_Level,Indiranagar,100 Feet Road,Wednesday,2,0,0,0,16578,26724,5651,999,49952,100.0,No
Synthetic_Generated,Area_Level,Indiranagar,CMH Road,Wednesday,2,0,1,0,9275,18174,5842,679,33970,100.0,No
